Id,Status,Name,Description,Particpation,Location,Add,Tel,Org,Start,End,Cycle,Noncycle,Map,Px,Py,Travellinginfo,Parkinginfo,Charge,Remarks,Changetime
C2_397000000A_003338,2,寄生：X 檔案,無,一般民眾,to see the official site,高雄市803鹽埕區大勇路1號,886-7-7995678,高雄市政府,2020/9/26 00:00,2021/4/11 20:00,,,,120.2816,22.62001,,,,,2021/4/9 14:24
C2_397000000A_003347,2,【高雄雄厲害】里米尼紀錄劇團《高雄百分百》,無,一般民眾,to see the official site,高雄市830鳳山區三多一路 1 號,886-7-7995678,高雄市政府,2020/10/23 00:00,2020/12/5 23:59,,,,120.34221,22.62417,,,,,2020/10/23 09:42
C2_397000000A_003348,2,【衛武營小時光】《 起承。啟程—2020天狼星口琴樂團公演 》,無,一般民眾,to see the official site,高雄市830鳳山區三多一路 1 號,886-7-7995678,高雄市政府,2020/10/23 00:00,2020/11/20 23:59,,,,120.34221,22.62417,,,,,2020/10/23 09:38
C2_397000000A_003349,2,《大白熊》與《彼得與狼》動畫音樂會,無,一般民眾,to see the official site,高雄市830鳳山區三多一路 1 號,886-7-7995678,高雄市政府,2020/10/23 00:00,2020/12/20 23:59,,,,120.34221,22.62417,,,,,2020/10/23 09:40
C2_397000000A_003379,2,材料「長」這樣，藝術「展」那樣–藝術家的點石成金術,無,一般民眾,to see the official site,高雄市804鼓山區馬卡道路330號,886-7-7995678,高雄市立美術館,2020/7/11 00:00,2021/8/29 23:59,,,,120.28304,22.65781,,,,,2020/11/2 11:14
C2_397000000A_003380,2,Wind・Breeze鋼琴與管樂合作藝術音樂會,無,一般民眾,to see the official site,高雄市830鳳山區三多一路1 號,886-7-7995678,衛武營國家藝術文化中心,2020/11/9 00:00,2020/11/9 23:59,,,,120.34221,22.62417,,,,,2020/11/3 18:54
C2_397000000A_003382,2,婚禮市集Ｘ顆顆書店,無,一般民眾,to see the official site,高雄市800新興區新堀江文橫二路(五福-新田路段),886-7-7995678,新興區公所,2020/11/14 00:00,2020/11/15 23:59,,,,120.30361,22.62277,,,,,2020/11/3 18:53
C2_397000000A_003386,2,秋冬限定 茂林賞蝶季來了!!,無,一般民眾,to see the official site,高雄市844六龜區新威里新威171號,886-7-7995678,茂林國家風景區管理處,2020/10/17 00:00,2021/2/7 23:59,,,,120.62832,22.9022,,,,,2020/11/6 14:59
C2_397000000A_003391,2,部落嚐美食 「2020山那邊的市集」,無,一般民眾,to see the official site,高雄市844六龜區171號,886-7-7995678,高雄市政府,2020/10/17 00:00,2020/12/6 23:59,,,,120.62006,22.8881,,,,,2020/11/12 14:05
C2_397000000A_003402,2,張正傑親子音樂會 別讓貝多芬傷心,無,一般民眾,to see the official site,高雄市830鳳山區三多一路 1 號,886-7-7995678,衛武營國家藝術文化中心,2020/11/22 15:00,2020/11/22 17:00,,,,120.34221,22.62417,,,,,2020/11/29 17:49
C2_397000000A_003404,2,2020 ART KAOHSIUNG 高雄藝術博覽會,無,一般民眾,to see the official site,高雄市803鹽埕區大勇路1號,886-7-7995678,高雄市政府,2020/11/20 11:00,2020/11/22 18:00,,,,120.2816,22.62001,,,,,2020/11/13 13:50
C2_397000000A_003409,2,【2020衛武營馬戲平台】《馬戲•印象》展,無,一般民眾,to see the official site,高雄市830鳳山區三多一路 1 號,886-7-7995678,衛武營國家藝術文化中心,2020/11/10 10:00,2020/11/29 22:00,,,,120.34221,22.62417,,,,,2020/11/29 17:50
C2_397000000A_003412,2,2020高雄苓雅國際街頭藝術節,無,一般民眾,to see the official site,高雄市802苓雅區建軍路與尚勇路口,886-7-7995678,高雄市政府,2020/11/21 00:00,2020/11/21 23:59,,,,120.34235,22.62635,,,,,2020/11/17 10:13
C2_397000000A_003449,2,2020K.C.P.F.高雄現代擊樂節,無,一般民眾,to see the official site,高雄市830鳳山區三多一路 1 號,886-7-7995678,衛武營國家藝術文化中心,2020/11/27 00:19,2020/11/29 00:19,,,,120.34221,22.62417,,,,,2021/6/25 09:02
C2_397000000A_003466,2,來做客家人(市集．體驗．野餐),無,一般民眾,to see the official site,高雄市807三民區同盟二路217號(高雄市新客家文化園區),886-7-7995678,高雄市政府客家事務委員會,2020/12/5 09:00,2020/12/5 16:00,,,,120.29504,22.64989,,,,,2020/11/28 11:04
C2_397000000A_003469,2,【高雄雄厲害】德國里米尼紀錄劇團《高雄百分百》,無,一般民眾,to see the official site,高雄市830鳳山區三多一路 1 號,886-7-7995678,衛武營國家藝術文化中心,2020/12/4 19:30,2020/12/5 21:30,,,,120.34221,22.62417,,,,,2021/6/25 09:36
C2_397000000A_003471,2,脫拉庫「望你早歸」演唱會,無,一般民眾,to see the official site,高雄市803鹽埕區大義街2之5號,886-7-7995678,高雄流行音樂中心,2020/12/12 20:00,2020/12/12 22:00,,,,120.28567,22.61806,,,,,2021/6/25 09:15
C2_397000000A_003473,2,2020-2021 山城花語溫泉季,無,一般民眾,to see the official site,高雄市844六龜區寶來二巷,886-7-7995678,交通部觀光局茂林國家風景區管理處,2020/10/1 10:00,2021/2/28 16:00,,,,120.70016,23.1081,,,,,2020/11/30 16:28
C2_397000000A_003476,2,2020杉林吶喊─瓜目相看,無,一般民眾,to see the official site,高雄市846杉林區上平公園,886-7-7995678,高雄市杉林區公所,2020/12/12 15:00,2020/12/12 21:00,,,,120.54087,22.97324,,,,,2020/12/1 12:05
C2_397000000A_003481,2,2020大港自造節｜Be Yourself,無,一般民眾,to see the official site,高雄市803鹽埕區瀨南街8號 ,886-7-7995678,高雄市政府青年局,2020/12/5 10:00,2020/12/6 17:00,,,,120.2804,22.62093,,,,,2020/12/3 18:01
C2_397000000A_003483,2,迪士尼《獅子王》電影交響音樂會,無,一般民眾,to see the official site,高雄市830鳳山區三多一路 1 號,886-7-7995678,衛武營國家藝術文化中心,2020/12/6 15:00,2020/12/6 21:30,,,,120.34221,22.62417,,,,,2020/12/4 16:03
